0.000098,-0.000161,0.799087,0.004109,0.002375,0.021641,0.999755,-0.004409,0.060532,0.166431,0.176276,-0.097473,-0.023962,0.040313,-0.119414,-0.385817,0.206674,-0.180823,0.039829,0.016061,-0.006092,0.001142,-0.068885,1.474532,-0.172469,1.220329,0.281551,0.229778,0.196130,0.063265,-1.454644,0.000167,1.374207,-0.017476,0.069432,-0.162874
-0.000162,-0.000143,0.799161,0.005899,-0.002837,0.023005,0.999714,0.011784,0.057292,0.168583,0.163327,-0.091545,-0.024899,0.057268,-0.124859,-0.397377,0.197409,-0.178610,0.043167,0.013268,-0.009288,0.010784,-0.101476,1.437662,-0.166795,1.154745,0.337672,0.318739,0.187132,0.089468,-1.431391,-0.027453,1.315043,-0.025886,0.118090,-0.188855
-0.000428,-0.000109,0.799220,0.007516,-0.007697,0.024107,0.999652,0.025883,0.054173,0.169894,0.153609,-0.086976,-0.025481,0.071841,-0.129461,-0.405820,0.190419,-0.176702,0.045661,0.010551,-0.012233,0.019779,-0.126546,1.406868,-0.156840,1.098113,0.389850,0.392912,0.175157,0.114408,-1.411911,-0.057112,1.260843,-0.037377,0.162501,-0.210298
-0.000706,-0.000041,0.799251,0.008785,-0.011855,0.024684,0.999586,0.035791,0.051296,0.169527,0.150353,-0.085124,-0.025356,0.081650,-0.132377,-0.408030,0.187982,-0.175405,0.046469,0.007988,-0.014675,0.027482,-0.136572,1.388225,-0.138322,1.059382,0.434143,0.437508,0.157226,0.136823,-1.399976,-0.090851,1.216574,-0.055031,0.198417,-0.222666
-0.000973,0.000039,0.799262,0.009810,-0.015310,0.025010,0.999522,0.043565,0.048958,0.169293,0.148749,-0.084207,-0.025140,0.089185,-0.134664,-0.409062,0.186691,-0.174508,0.046928,0.005858,-0.016670,0.033805,-0.139070,1.374832,-0.114954,1.031888,0.473604,0.462403,0.139761,0.156944,-1.389174,-0.128239,1.178876,-0.076155,0.227967,-0.230767
-0.001233,0.000126,0.799263,0.010712,-0.018414,0.025211,0.999455,0.050271,0.046889,0.169126,0.147973,-0.083756,-0.024880,0.095584,-0.136637,-0.409506,0.185973,-0.173811,0.047213,0.003945,-0.018441,0.039439,-0.137805,1.364064,-0.089162,1.010012,0.510649,0.477448,0.122529,0.175918,-1.378939,-0.167451,1.144465,-0.099014,0.254333,-0.236735
-0.001488,0.000226,0.799258,0.011340,-0.020700,0.025051,0.999408,0.055060,0.045496,0.169530,0.147747,-0.083634,-0.024657,0.099800,-0.138006,-0.409157,0.185780,-0.173290,0.047332,0.002593,-0.019691,0.043458,-0.131939,1.356172,-0.060593,0.997165,0.543975,0.480174,0.107566,0.191681,-1.367517,-0.210480,1.115766,-0.124287,0.274416,-0.238163
-0.001738,0.000328,0.799254,0.011901,-0.022768,0.024803,0.999363,0.059387,0.044267,0.170091,0.147582,-0.083546,-0.024446,0.103496,-0.139234,-0.408627,0.185667,-0.172797,0.047420,0.001387,-0.020805,0.047084,-0.125456,1.348524,-0.032076,0.985241,0.576530,0.481955,0.093163,0.206581,-1.355665,-0.253716,1.088153,-0.150215,0.293105,-0.237800
-0.001979,0.000437,0.799250,0.012332,-0.024401,0.024377,0.999329,0.062791,0.043363,0.170969,0.147537,-0.083526,-0.024259,0.106152,-0.140178,-0.407737,0.185713,-0.172360,0.047447,0.000474,-0.021645,0.049923,-0.117738,1.341363,-0.003665,0.975166,0.607542,0.481849,0.079881,0.219756,-1.342952,-0.297364,1.062710,-0.177452,0.309006,-0.233857
-0.002209,0.000545,0.799248,0.012663,-0.025697,0.023845,0.999305,0.065473,0.042706,0.172035,0.147572,-0.083544,-0.024101,0.108058,-0.140906,-0.406638,0.185840,-0.171972,0.047440,-0.000232,-0.022272,0.052216,-0.109633,1.334363,0.024414,0.965671,0.636891,0.481261,0.067908,0.231685,-1.329985,-0.339140,1.038855,-0.206298,0.322769,-0.225846
-0.002433,0.000652,0.799247,0.012944,-0.026824,0.023261,0.999286,0.067795,0.042172,0.173197,0.147647,-0.083579,-0.023958,0.109590,-0.141526,-0.405434,0.186009,-0.171610,0.047416,-0.000834,-0.022793,0.054237,-0.101334,1.327442,0.052325,0.956468,0.665409,0.480432,0.056591,0.242993,-1.316891,-0.379979,1.015794,-0.235948,0.335463,-0.215801
-0.002640,0.000752,0.799250,0.013115,-0.027531,0.022627,0.999279,0.069206,0.041907,0.174449,0.147807,-0.083633,-0.023857,0.110308,-0.141878,-0.404132,0.186137,-0.171269,0.047352,-0.001228,-0.023070,0.055750,-0.093289,1.320717,0.080224,0.948239,0.690993,0.479612,0.047212,0.252514,-1.304227,-0.417007,0.994593,-0.267783,0.344568,-0.204544
-0.002844,0.000851,0.799255,0.013229,-0.028002,0.022204,0.999274,0.070380,0.041697,0.175691,0.147980,-0.083679,-0.023761,0.110839,-0.142166,-0.402841,0.186223,-0.170910,0.047281,-0.001577,-0.023284,0.057158,-0.085314,1.314054,0.107933,0.940249,0.715743,0.478772,0.038524,0.261381,-1.291608,-0.452918,0.974019,-0.299660,0.352542,-0.193617
